square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-36,-20,-36,-30,-62,-56,-36,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-60,-56,-36,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-64,-60,-74,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-60,-60,-38,-64,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-62,-60,-42,-64,-60,D8:07:B6:6E:4E:F4
s-01,-36,-66,-36,-30,-62,-58,-36,-60,-60,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-30,-64,-62,-38,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-60,-56,-38,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-58,-60,-58,-38,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-38,-32,-60,-56,-42,-60,-60,D8:07:B6:6E:4E:F4
s-01,-40,-22,-58,-30,-64,-56,-42,-54,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-64,-54,-42,-54,-60,D8:07:B6:6E:4E:F4
s-01,-40,-20,-38,-30,-64,-54,-42,-54,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-64,-54,-42,-54,-60,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-58,-56,-42,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-30,-64,-56,-42,-54,-72,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-30,-62,-56,-42,-54,-72,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-62,-56,-42,-54,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-30,-32,-62,-56,-42,-54,-62,D8:07:B6:6E:4E:F4
s-01,-60,-22,-30,-38,-62,-56,-42,-64,-62,D8:07:B6:6E:4E:F4
s-01,-60,-22,-30,-38,-72,-56,-42,-64,-64,D8:07:B6:6E:4E:F4
s-01,-60,-20,-36,-30,-62,-56,-42,-64,-60,D8:07:B6:6E:4E:F4
s-01,-60,-62,-36,-30,-62,-56,-46,-64,-60,D8:07:B6:6E:4E:0A
s-01,-60,-22,-36,-30,-60,-56,-46,-64,-58,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-30,-60,-60,-36,-64,-58,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-38,-60,-56,-36,-64,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-32,-32,-68,-56,-36,-62,-64,D8:07:B6:6E:4E:F4
s-01,-60,-78,-34,-32,-68,-54,-48,-62,-64,D8:07:B6:6E:4E:0A
s-01,-36,-28,-36,-66,-62,-54,-42,-62,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-30,-60,-54,-44,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-28,-66,-54,-44,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-28,-58,-54,-44,-62,-66,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-52,-58,-54,-44,-62,-66,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-32,-58,-54,-48,-62,-64,D8:07:B6:6E:4E:F4
s-01,-56,-24,-36,-32,-58,-54,-50,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-60,-54,-50,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-24,-36,-32,-60,-54,-50,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-24,-72,-32,-62,-54,-50,-60,-60,D8:07:B6:6E:4E:F4
