square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-40,-38,-32,-28,-54,-46,-42,-48,-62,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-26,-54,-46,-44,-48,-62,D8:07:B6:6E:4E:0A
s-03,-40,-40,-50,-28,-54,-46,-44,-48,-62,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-32,-48,-46,-44,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-40,-30,-32,-48,-46,-44,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-40,-30,-30,-48,-48,-44,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-44,-44,-48,-48,-48,-44,-48,-68,98:DE:D0:8F:0A:38
s-03,-40,-38,-32,-28,-56,-48,-44,-46,-68,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-56,-46,-44,-46,-62,D8:07:B6:6E:4E:0A
s-03,-60,-40,-30,-28,-56,-52,-44,-46,-62,D8:07:B6:6E:4E:0A
s-03,-60,-40,-30,-44,-56,-52,-44,-46,-62,D8:07:B6:6E:4F:80
s-03,-60,-40,-30,-28,-56,-52,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-60,-38,-30,-28,-56,-52,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-60,-38,-48,-30,-56,-52,-44,-48,-60,D8:07:B6:6E:4E:0A
s-03,-60,-36,-48,-28,-56,-52,-60,-48,-60,D8:07:B6:6E:4E:0A
s-03,-60,-40,-48,-28,-56,-52,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-58,-28,-56,-52,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-58,-48,-56,-52,-58,-46,-60,D8:07:B6:6E:4E:F4
s-03,-40,-42,-30,-58,-56,-48,-58,-48,-60,D8:07:B6:6E:4F:80
s-03,-40,-40,-30,-28,-46,-48,-58,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-28,-46,-46,-58,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-28,-46,-46,-46,-60,-60,D8:07:B6:6E:4E:0A
s-03,-40,-60,-30,-28,-46,-46,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-30,-46,-44,-44,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-46,-46,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-46,-46,-42,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-56,-30,-58,-46,-46,-46,-46,-60,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-30,-46,-46,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-30,-48,-48,-44,-48,-60,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-56,-44,-44,-48,-60,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-54,-48,-62,-46,-60,D8:07:B6:6E:4E:0A
s-03,-42,-36,-32,-28,-54,-48,-62,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-48,-62,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-54,-48,-62,-46,-62,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-54,-48,-62,-46,-64,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-48,-58,-46,-70,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-48,-58,-46,-70,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-48,-44,-46,-70,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-30,-54,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-32,-54,-46,-46,-48,-58,D8:07:B6:6E:4E:0A
s-03,-42,-42,-30,-30,-54,-46,-48,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-30,-54,-48,-48,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-60,-54,-46,-48,-46,-60,D8:07:B6:6E:4F:80
