square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-42,-30,-28,-36,-56,-54,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-66,-58,-56,-54,-60,-44,-62,D8:07:B6:6E:4E:F4
s-03,-42,-30,-24,-58,-64,-54,-60,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-58,-56,-54,-60,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-58,-56,-54,-60,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-58,-56,-54,-42,-44,-64,D8:07:B6:6E:4F:80
s-03,-40,-60,-26,-36,-56,-52,-44,-44,-58,D8:07:B6:6E:4F:80
s-03,-42,-60,-26,-36,-60,-52,-44,-44,-58,D8:07:B6:6E:4F:80
s-03,-44,-32,-60,-36,-56,-52,-44,-44,-64,D8:07:B6:6E:4E:F4
s-03,-44,-32,-60,-36,-54,-52,-44,-44,-64,D8:07:B6:6E:4E:F4
s-03,-44,-32,-60,-36,-56,-52,-44,-44,-62,D8:07:B6:6E:4E:F4
s-03,-44,-32,-60,-36,-56,-52,-44,-44,-60,D8:07:B6:6E:4E:F4
s-03,-44,-30,-26,-36,-56,-52,-44,-46,-68,D8:07:B6:6E:4F:80
s-03,-44,-32,-24,-36,-56,-52,-44,-46,-60,D8:07:B6:6E:4F:80
s-03,-44,-32,-24,-34,-60,-52,-44,-46,-62,D8:07:B6:6E:4F:80
s-03,-44,-32,-26,-36,-58,-52,-44,-46,-62,D8:07:B6:6E:4F:80
s-03,-44,-32,-26,-36,-60,-52,-44,-46,-62,D8:07:B6:6E:4F:80
